SampleID	Stage	Reads
IM-24-036-GKAQ_S100	Amplicons	271298
IM-24-036-GKAQ_S100	OutputDada2	248427
IM-24-036-GKAQ_S100	OutputPostprocessing	246885
IM-24-036-GLUV_S102	Input	288976
IM-24-036-GLUV_S102	No Dimers	287412
IM-24-036-GLUV_S102	Amplicons	266401
IM-24-036-GLUV_S102	OutputDada2	246360
IM-24-036-GLUV_S102	OutputPostprocessing	245710
IM-24-036-GPJF_S97	Input	375799
IM-24-036-GPJF_S97	No Dimers	371592
IM-24-036-GPJF_S97	Amplicons	342119
IM-24-036-GPJF_S97	OutputDada2	315878
IM-24-036-GPJF_S97	OutputPostprocessing	314813
IM-24-036-GXMV_S4	Input	129860
IM-24-036-GXMV_S4	No Dimers	129205
IM-24-036-GXMV_S4	Amplicons	120248
IM-24-036-GXMV_S4	OutputDada2	111289
IM-24-036-GXMV_S4	OutputPostprocessing	111171
IM-24-036-HGDW_S18	Input	225121
IM-24-036-HGDW_S18	No Dimers	223610
IM-24-036-HGDW_S18	Amplicons	208288
IM-24-036-HGDW_S18	OutputDada2	192729
IM-24-036-HGDW_S18	OutputPostprocessing	192588
IM-24-036-HLDD_S31	Input	166385
IM-24-036-HLDD_S31	No Dimers	164898
IM-24-036-HLDD_S31	Amplicons	153115
IM-24-036-HLDD_S31	OutputDada2	141742
IM-24-036-HLDD_S31	OutputPostprocessing	139999
IM-24-036-HNXZ_S30	Input	162893
IM-24-036-HNXZ_S30	No Dimers	161294
IM-24-036-HNXZ_S30	Amplicons	150009
IM-24-036-HNXZ_S30	OutputDada2	138655
IM-24-036-HNXZ_S30	OutputPostprocessing	137699
IM-24-036-HUXF_S33	Input	455270
IM-24-036-HUXF_S33	No Dimers	452625
IM-24-036-HUXF_S33	Amplicons	420627
IM-24-036-HUXF_S33	OutputDada2	388963
IM-24-036-HUXF_S33	OutputPostprocessing	387031
IM-24-036-JRKV_S5	Input	183309
IM-24-036-JRKV_S5	No Dimers	182322
IM-24-036-JRKV_S5	Amplicons	169724
IM-24-036-JRKV_S5	OutputDada2	156886
IM-24-036-JRKV_S5	OutputPostprocessing	156595
IM-24-036-JXJB_S12	Input	102007
IM-24-036-JXJB_S12	No Dimers	101294
IM-24-036-JXJB_S12	Amplicons	94756
IM-24-036-JXJB_S12	OutputDada2	87725
IM-24-036-JXJB_S12	OutputPostprocessing	87614
IM-24-036-JXRB_S6	Input	166988
