SampleID	Stage	Reads
IM-24-044-BLAP_S61_L001	OutputPostprocessing	107273
IM-24-044-DGQK_S65_L001	Input	215822
IM-24-044-DGQK_S65_L001	No Dimers	214929
IM-24-044-DGQK_S65_L001	Amplicons	199195
IM-24-044-DGQK_S65_L001	OutputDada2	198134
IM-24-044-DGQK_S65_L001	OutputPostprocessing	196968
IM-24-044-DHYG_S64_L001	Input	289593
IM-24-044-DHYG_S64_L001	No Dimers	287561
IM-24-044-DHYG_S64_L001	Amplicons	266168
IM-24-044-DHYG_S64_L001	OutputDada2	261902
IM-24-044-DHYG_S64_L001	OutputPostprocessing	259785
IM-24-044-JYSS_S39_L001	Input	230059
IM-24-044-JYSS_S39_L001	No Dimers	226580
IM-24-044-JYSS_S39_L001	Amplicons	210193
IM-24-044-JYSS_S39_L001	OutputDada2	208908
IM-24-044-JYSS_S39_L001	OutputPostprocessing	208166
IM-24-044-JZJL_S55_L001	Input	179959
IM-24-044-JZJL_S55_L001	No Dimers	177862
IM-24-044-JZJL_S55_L001	Amplicons	165078
IM-24-044-JZJL_S55_L001	OutputDada2	163617
IM-24-044-JZJL_S55_L001	OutputPostprocessing	162334
IM-24-044-KXJF_S40_L001	Input	270592
IM-24-044-KXJF_S40_L001	No Dimers	265716
IM-24-044-KXJF_S40_L001	Amplicons	245544
IM-24-044-KXJF_S40_L001	OutputDada2	243426
IM-24-044-KXJF_S40_L001	OutputPostprocessing	241896
IM-24-044-MWDS_S41_L001	Input	252964
IM-24-044-MWDS_S41_L001	No Dimers	252133
IM-24-044-MWDS_S41_L001	Amplicons	234269
IM-24-044-MWDS_S41_L001	OutputDada2	232370
IM-24-044-MWDS_S41_L001	OutputPostprocessing	231818
IM-24-044-OCDC_S45_L001	Input	73934
IM-24-044-OCDC_S45_L001	No Dimers	73120
IM-24-044-OCDC_S45_L001	Amplicons	68120
IM-24-044-OCDC_S45_L001	OutputDada2	67387
IM-24-044-OCDC_S45_L001	OutputPostprocessing	66893
IM-24-044-PXTH_S42_L001	Input	171776
IM-24-044-PXTH_S42_L001	No Dimers	171031
IM-24-044-PXTH_S42_L001	Amplicons	158682
IM-24-044-PXTH_S42_L001	OutputDada2	157802
IM-24-044-PXTH_S42_L001	OutputPostprocessing	157513
IM-24-044-QSMX_S43_L001	Input	82444
IM-24-044-QSMX_S43_L001	No Dimers	81972
IM-24-044-QSMX_S43_L001	Amplicons	76218
IM-24-044-QSMX_S43_L001	OutputDada2	75642
IM-24-044-QSMX_S43_L001	OutputPostprocessing	75568
IM-24-044-QTBV_S44_L001	Input	69987
IM-24-044-QTBV_S44_L001	No Dimers	69445
IM-24-044-QTBV_S44_L001	Amplicons	64860
IM-24-044-QTBV_S44_L001	OutputDada2	64532
IM-24-044-QTBV_S44_L001	OutputPostprocessing	64355
IM-24-044-SDCF_S60_L001	Input	116070
IM-24-044-SDCF_S60_L001	No Dimers	115210
IM-24-044-SDCF_S60_L001	Amplicons	107775
IM-24-044-SDCF_S60_L001	OutputDada2	106514
IM-24-044-SDCF_S60_L001	OutputPostprocessing	106013
IM-24-044-SKBF_S47_L001	Input	120203
IM-24-044-SKBF_S47_L001	No Dimers	119353
IM-24-044-SKBF_S47_L001	Amplicons	110877
IM-24-044-SKBF_S47_L001	OutputDada2	109604
IM-24-044-SKBF_S47_L001	OutputPostprocessing	108849
IM-24-044-TWSM_S54_L001	Input	143544
IM-24-044-TWSM_S54_L001	No Dimers	142172
IM-24-044-TWSM_S54_L001	Amplicons	132060
IM-24-044-TWSM_S54_L001	OutputDada2	131221
IM-24-044-TWSM_S54_L001	OutputPostprocessing	129749
IM-24-044-UHQM_S48_L001	Input	182880
IM-24-044-UHQM_S48_L001	No Dimers	181710
IM-24-044-UHQM_S48_L001	Amplicons	169029
IM-24-044-UHQM_S48_L001	OutputDada2	167653
IM-24-044-UHQM_S48_L001	OutputPostprocessing	166067
IM-24-044-UKFD_S63_L001	Input	205553
IM-24-044-UKFD_S63_L001	No Dimers	204124
IM-24-044-UKFD_S63_L001	Amplicons	188750
IM-24-044-UKFD_S63_L001	OutputDada2	187554
IM-24-044-UKFD_S63_L001	OutputPostprocessing	185438
IM-24-044-ULMT_S49_L001	Input	261098
IM-24-044-ULMT_S49_L001	No Dimers	259615
IM-24-044-ULMT_S49_L001	Amplicons	242186
IM-24-044-ULMT_S49_L001	OutputDada2	240115
IM-24-044-ULMT_S49_L001	OutputPostprocessing	239589
IM-24-044-UQPJ_S50_L001	Input	206138
IM-24-044-UQPJ_S50_L001	No Dimers	203103
IM-24-044-UQPJ_S50_L001	Amplicons	188926
IM-24-044-UQPJ_S50_L001	OutputDada2	187972
IM-24-044-UQPJ_S50_L001	OutputPostprocessing	187781
IM-24-044-UZMH_S51_L001	Input	155645
IM-24-044-UZMH_S51_L001	No Dimers	154403
IM-24-044-UZMH_S51_L001	Amplicons	144478
IM-24-044-UZMH_S51_L001	OutputDada2	143495
IM-24-044-UZMH_S51_L001	OutputPostprocessing	143096
IM-24-044-WGHW_S56_L001	Input	236666
IM-24-044-WGHW_S56_L001	No Dimers	234263
IM-24-044-WGHW_S56_L001	Amplicons	216752
IM-24-044-WGHW_S56_L001	OutputDada2	215166
IM-24-044-WGHW_S56_L001	OutputPostprocessing	213168
IM-24-044-WQPU_S62_L001	Input	167318
IM-24-044-WQPU_S62_L001	No Dimers	165187
IM-24-044-WQPU_S62_L001	Amplicons	153370
IM-24-044-WQPU_S62_L001	OutputDada2	152474
IM-24-044-WQPU_S62_L001	OutputPostprocessing	151024
IM-24-044-WUNF_S53_L001	Input	137460
